ID,ClassID,SubclassID,Sound_Override_Subclassid,Material,DisplayInfoID,InventoryType,SheatheType
900001,4,0,-1,1,35423,11,0
900002,4,0,-1,1,47733,11,0
900003,4,0,-1,1,39159,11,0
900004,4,0,-1,1,45364,12,0
900005,4,0,-1,1,64247,12,0
900006,4,0,-1,1,31287,12,0
900007,4,0,-1,1,39336,12,0
900008,2,10,-1,6,34114,17,3
900009,2,15,-1,1,33615,13,3
900010,2,7,-1,1,30606,13,3
900011,2,4,-1,1,23618,13,3
900012,4,0,-1,1,40592,23,0
900013,4,0,-1,1,33839,23,0
900014,2,19,-1,1,32595,26,3
900015,2,19,-1,1,43915,26,3
900016,4,0,-1,1,17403,12,0
900017,4,0,-1,1,31664,11,0
900018,4,0,-1,1,34336,11,0
900019,4,1,-1,7,31971,10,0
900020,4,0,-1,1,35445,12,0
900021,4,1,-1,7,31969,6,0
900022,4,0,-1,1,35442,12,0
900023,2,19,-1,1,29195,26,3
900024,4,1,-1,7,31975,8,0
900025,4,0,-1,1,28733,11,0
900026,4,1,-1,7,42157,5,0
900027,4,0,-1,1,39120,11,0
900028,4,1,-1,7,31974,3,0
900029,4,0,-1,1,59269,12,0
900030,4,0,-1,1,31616,11,0
900031,4,1,-1,7,31970,9,0
900032,2,10,-1,6,31960,17,3
900033,4,0,-1,1,68106,12,0
900034,4,1,-1,7,31987,1,0
900035,4,0,-1,1,63960,11,0
900036,4,1,-1,7,34011,6,0
900037,4,1,-1,7,31278,6,0
900038,2,19,-1,1,35262,26,3
900039,4,0,-1,1,35445,12,0
900040,4,1,-1,7,30585,10,0
900041,2,15,-1,1,31864,13,3
900042,4,0,-1,1,24039,23,0
900043,4,1,-1,7,34044,8,0
900044,4,0,-1,1,43095,11,0
900045,4,1,-1,7,29798,3,0
900046,4,0,-1,1,48505,12,0
900047,4,0,-1,1,35792,23,0
900048,4,0,-1,1,44357,11,0
900049,2,10,-1,6,35240,17,3
900050,4,1,-1,7,34218,1,0
900051,4,1,-1,7,30340,6,0
900052,2,7,-1,1,41867,13,3
900053,4,1,-1,7,25049,5,0
900054,2,19,-1,1,43916,26,3
900055,4,0,-1,1,34261,12,0
900056,4,1,-1,7,30584,9,0
900057,4,0,-1,1,9834,11,0
900058,4,0,-1,1,26001,11,0
900059,4,1,-1,7,30621,6,0
900060,2,7,-1,1,52784,13,3
900061,4,0,-1,1,35438,11,0
900062,4,0,-1,1,45275,23,0
900063,4,0,-1,1,18725,12,0
900064,2,10,-1,6,31346,17,3
900065,4,1,-1,7,31276,10,0
900066,4,0,-1,1,54844,23,0
900067,4,1,-1,7,33071,1,0
900068,4,0,-1,1,6012,11,0
900069,2,19,-1,1,54697,26,3
900070,4,1,-1,7,32400,5,0
900071,4,0,-1,1,31770,12,0
900072,4,0,-1,1,6337,12,0
900073,4,0,-1,1,14438,11,0
900074,4,0,-1,1,64440,23,0
900075,4,0,-1,1,9836,11,0
900076,2,7,-1,1,48078,13,3
900077,2,19,-1,1,32774,26,3
900078,4,1,-1,7,34254,3,0
900079,4,0,-1,1,30661,11,0
900080,2,10,-1,6,41895,17,3
900081,4,0,-1,1,22978,12,0
900082,4,1,-1,7,34053,6,0
900083,4,0,-1,1,40518,11,0
900084,4,1,-1,7,31649,8,0
900085,4,0,-1,1,29722,12,0
900086,4,0,-1,1,23321,23,0
900087,4,0,-1,1,31479,12,0
900088,4,0,-1,1,31806,23,0
900089,2,19,-1,1,32582,26,3
900090,4,0,-1,1,24087,11,0
900091,4,1,-1,7,15322,1,0
900092,4,0,-1,1,31576,11,0
900093,4,0,-1,1,31768,12,0
900094,4,0,-1,1,31809,23,0
900095,2,10,-1,6,64337,17,3
900096,4,0,-1,1,33728,11,0
900097,4,1,-1,7,14618,9,0
900098,4,0,-1,1,43837,11,0
900099,2,7,-1,1,58939,13,3
900100,4,0,-1,1,32344,23,0
900101,4,0,-1,1,31838,12,0
900102,4,0,-1,1,11990,11,0
900103,4,1,-1,7,31931,6,0
900104,4,0,-1,1,33845,23,0
900105,4,0,-1,1,31840,12,0
900106,4,0,-1,1,44086,11,0
900107,4,0,-1,1,53560,11,0
900108,2,19,-1,1,35262,26,3
900109,2,10,-1,6,20298,17,3
900110,4,1,-1,7,23737,3,0
900111,4,0,-1,1,31843,12,0
900112,4,0,-1,1,34288,23,0
900113,4,1,-1,7,32988,10,0
900114,4,0,-1,1,31847,12,0
900115,4,0,-1,1,28831,11,0
900116,4,0,-1,1,24646,11,0
900117,4,0,-1,1,49005,11,0
900118,2,7,-1,1,32197,13,3
900119,4,0,-1,1,31901,12,0
900120,4,0,-1,1,50376,11,0
900121,2,19,-1,1,46606,26,3
900122,4,0,-1,1,39126,11,0
900123,4,0,-1,1,31936,12,0
900124,4,0,-1,1,35383,23,0
900125,4,0,-1,1,32431,12,0
900126,4,0,-1,1,33808,11,0
900127,4,1,-1,7,30338,9,0
900128,4,0,-1,1,1262,12,0
900129,4,0,-1,1,35816,23,0
900130,4,0,-1,1,35431,11,0
900131,4,0,-1,1,36266,23,0
900132,2,10,-1,6,35634,17,3
900133,4,0,-1,1,47733,11,0
900134,4,0,-1,1,68106,12,0
900135,4,0,-1,1,39159,11,0
900136,4,0,-1,1,33839,23,0
900137,4,0,-1,1,39336,12,0
900138,4,0,-1,1,39159,11,0
